"X2022.04.16","X2022.04.17","ATL","BOS","PT2H29M","X248.60","X9","X947","DL","coach"
"2022-07-01","2022-08-30","ATL","SFO","PT15H5M",212.7,9,2496,"DL||DL||DL","coach||coach||coach"
"2022-06-02","2022-06-12","ATL","OAK","PT8H4M",334.58,0,NA,"NK||NK","coach||coach"
"2022-06-26","2022-06-29","ATL","EWR","PT4H25M",106.1,7,773,"AA||AA","coach||coach"
"2022-07-02","2022-08-02","ATL","CLT","PT1H20M",148.6,7,228,"AA","coach"
"2022-05-02","2022-06-02","ATL","MIA","PT10H9M",119.59,4,1683,"F9||F9","coach||coach"
"2022-06-13","2022-07-03","ATL","JFK","PT11H29M",322.2,9,906,"DL||DL","coach||coach"
"2022-05-30","2022-07-18","ATL","OAK","PT6H15M",312.58,0,NA,"NK||NK","coach||coach"
"2022-07-12","2022-07-24","ATL","DFW","PT5H19M",252.1,3,1158,"AA||AA","coach||coach"
"2022-05-30","2022-07-09","ATL","IAD","PT3H48M",356.09,5,555,"AA||AA","coach||coach"
"2022-05-09","2022-07-03","ATL","LGA","PT2H23M",228.6,9,762,"DL","coach"
"2022-06-19","2022-06-27","ATL","DFW","PT2H21M",328.6,4,725,"DL","coach"
"2022-06-29","2022-08-06","ATL","EWR","PT6H40M",297.6,7,1700,"AA||AA","coach||coach"
"2022-05-23","2022-05-31","ATL","BOS","PT5H30M",368.6,4,947,"AA||AA","coach||coach"
"2022-05-24","2022-06-01","ATL","BOS","PT2H43M",418.6,9,947,"DL","coach"
"2022-05-28","2022-07-27","ATL","LGA","PT2H24M",168.61,9,762,"DL","coach"
"2022-04-30","2022-05-16","ATL","DTW","PT9H45M",294.21,1,1718,"DL||DL","coach||coach"
"2022-07-09","2022-07-18","ATL","BOS","PT2H45M",398.6,9,947,"DL","coach"
"2022-06-18","2022-07-15","ATL","LGA","PT2H18M",82.98,4,762,"F9","coach"
"2022-06-29","2022-08-23","ATL","SFO","PT10H39M",567.11,9,2496,"DL||DL||DL","coach||coach||coach"
"2022-06-25","2022-07-15","ATL","OAK","PT7H31M",768.6,9,2281,"DL||DL","coach||coach"
"2022-04-22","2022-06-07","ATL","SFO","PT9H49M",509.61,1,2447,"UA||UA","coach||coach"
"2022-06-28","2022-08-20","ATL","EWR","PT4H2M",186.1,7,773,"AA||AA","coach||coach"
"2022-04-29","2022-05-06","ATL","IAD","PT1H51M",378.6,1,541,"UA","coach"
"2022-04-21","2022-06-10","ATL","PHL","PT6H45M",301.11,2,677,"AA||AA","coach||coach"
"2022-07-06","2022-08-31","ATL","LGA","PT2H23M",138.6,9,762,"DL","coach"
"2022-06-16","2022-06-30","ATL","OAK","PT12H3M",305.07,0,NA,"NK||NK||NK","coach||coach||coach"
"2022-04-19","2022-04-23","ATL","MIA","PT8H18M",109.99,4,598,"F9||F9","coach||coach"
"2022-06-14","2022-07-27","ATL","IAD","PT5H7M",286.1,5,555,"AA||AA","coach||coach"
"2022-04-29","2022-06-07","ATL","BOS","PT4H16M",143.6,1,947,"AA||AA","coach||coach"
"2022-06-25","2022-07-15","ATL","PHL","PT2H3M",202.6,9,667,"DL","coach"
"2022-07-06","2022-07-28","ATL","CLT","PT4H47M",424.6,4,868,"UA||UA","coach||coach"
"2022-07-03","2022-07-19","ATL","JFK","PT8H30M",461.6,9,1320,"UA||DL","coach||coach"
"2022-07-05","2022-08-10","ATL","DTW","PT6H14M",461.61,9,NA,"DL||DL","coach||coach"
"2022-06-27","2022-07-26","ATL","LGA","PT2H23M",143.6,5,762,"AA","coach"
"2022-06-28","2022-07-27","ATL","LAX","PT10H41M",266.58,0,NA,"NK||NK","coach||coach"
"2022-04-21","2022-05-29","ATL","IAD","PT1H41M",348.6,9,541,"DL","coach"
"2022-04-29","2022-06-12","ATL","SFO","PT12H42M",579.61,4,2159,"F9||F9","coach||coach"
"2022-05-01","2022-06-03","ATL","DEN","PT11H6M",361.21,7,2383,"B6||B6","coach||coach"
"2022-06-26","2022-06-30","ATL","LAX","PT7H2M",367.6,3,2013,"UA||UA","coach||coach"
"2022-07-07","2022-08-05","ATL","LGA","PT5H44M",143.58,0,NA,"NK||NK","coach||coach"
"2022-07-09","2022-07-19","ATL","DFW","PT2H19M",172.6,7,725,"AA","coach"
"2022-04-30","2022-05-04","ATL","JFK","PT6H",191.1,5,773,"AA||AA","coach||coach"
"2022-05-05","2022-06-22","ATL","EWR","PT8H53M",74.78,0,NA,"NK||NK","coach||coach"
"2022-07-02","2022-08-05","ATL","PHL","PT2H5M",428.6,9,667,"DL","coach"
"2022-05-28","2022-06-03","ATL","LAX","PT4H56M",458.6,9,1943,"DL","coach"
"2022-06-02","2022-06-27","ATL","LGA","PT11H9M",232.19,9,1700,"DL||DL","coach||coach"
"2022-04-29","2022-06-05","ATL","LGA","PT2H14M",304.6,9,762,"DL","coach"
"2022-06-21","2022-07-16","ATL","EWR","PT9H42M",341.2,1,1089,"DL||DL","coach||coach"
"2022-07-09","2022-08-15","ATL","ORD","PT2H17M",202.6,7,600,"AA","coach"
"2022-05-02","2022-06-12","ATL","LAX","PT8H52M",786.59,9,2559,"DL||UA","coach||coach"
"2022-05-12","2022-06-19","ATL","CLT","PT3H58M",426.6,6,868,"UA||UA","coach||coach"
"2022-06-23","2022-06-26","ATL","EWR","PT2H5M",168.61,9,762,"DL","coach"
"2022-06-13","2022-07-08","ATL","LGA","PT2H25M",223.6,4,762,"DL","coach"
"2022-05-01","2022-06-04","ATL","JFK","PT2H17M",158.6,7,762,"B6","coach"
"2022-05-05","2022-06-12","ATL","PHL","PT2H6M",382.61,7,667,"AA","coach"
"2022-04-21","2022-06-09","ATL","ORD","PT7H40M",185.6,7,1482,"AA||AA","coach||coach"
"2022-04-22","2022-05-07","ATL","LGA","PT5H52M",106.1,7,773,"AA||AA","coach||coach"
"2022-06-28","2022-08-05","ATL","EWR","PT4H44M",156.1,7,773,"AA||AA","coach||coach"
"2022-07-09","2022-07-28","ATL","CLT","PT1H12M",198.6,9,228,"DL","coach"
"2022-05-11","2022-05-19","ATL","DFW","PT2H13M",368.6,9,725,"DL","coach"
